,pre,post,witvliet_2020_6_L3_chem.csv' with 80 nodes and 654 edges_weight,witvliet_2020_4_L1_chem.csv' with 76 nodes and 490 edges_weight,witvliet_2020_3_L1_chem.csv' with 72 nodes and 449 edges_weight,witvliet_2020_2_L1_chem.csv' with 72 nodes and 437 edges_weight,witvliet_2020_1_L1_chem.csv' with 71 nodes and 362 edges_weight,cel_white_1986_jsh_chem.csv' with 81 nodes and 646 edges_weight,cel_n2u_chemical.csv' with 84 nodes and 1246 edges_weight,witvliet_2020_7_ad_chem.csv' with 83 nodes and 988 edges_weight,witvliet_2020_8_ad_chem.csv' with 83 nodes and 961 edges_weight,witvliet_2020_5_L2_chem.csv' with 79 nodes and 680 edges_weight
0,ADA,AIA,1,0,0,0,0,0,3,2,0,1
1,ADA,AIB,1,1,0,1,2,2,10,6,0,2
2,ADA,ASH,1,0,0,2,0,1,2,0,0,2
3,ADA,AVA,9,1,5,4,3,6,17,3,5,2
4,ADA,AVB,25,10,9,8,5,24,62,28,45,21
5,ADA,AVD,2,2,0,2,2,0,8,1,1,0
6,ADA,AVH,1,0,1,0,0,0,0,0,0,0
7,ADA,AVJ,8,5,4,2,3,7,24,10,18,7
8,ADA,OLQ,1,1,0,0,0,0,0,0,1,2
9,ADA,PVP,1,0,0,1,0,0,1,0,0,0
10,ADA,RIC,1,2,2,2,2,2,4,3,1,4
11,ADA,RIM,8,5,5,4,2,8,38,13,11,10
12,ADA,RIP,5,4,1,0,0,7,13,8,11,4
13,ADA,SDQ,1,0,0,0,0,0,0,0,0,0
14,ADA,AIZ,0,1,0,0,0,0,0,0,0,0
15,ADA,AVE,0,1,0,0,0,2,4,4,1,2
16,ADA,DVA,0,1,0,0,0,0,0,3,0,0
17,ADA,SAA,0,1,0,0,0,0,0,1,1,0
18,ADA,URA,0,1,0,0,0,0,1,0,0,1
19,ADA,RID,0,0,0,1,0,0,0,0,0,0
20,ADA,SMD,0,0,0,1,0,1,4,1,2,0
21,ADA,ADA,0,0,0,0,0,0,11,0,0,0
22,ADA,ADL,0,0,0,0,0,0,2,0,0,0
23,ADA,RIF,0,0,0,0,0,0,1,1,0,0
24,ADA,RIV,0,0,0,0,0,0,5,0,0,0
25,ADA,URX,0,0,0,0,0,0,3,2,0,0
26,ADA,URY,0,0,0,0,0,0,2,0,0,0
27,ADA,ADE,0,0,0,0,0,0,0,1,0,0
28,ADA,RMF,0,0,0,0,0,0,0,1,4,0
29,ADA,ADF,0,0,0,0,0,0,0,0,0,0
30,ADA,ALM,0,0,0,0,0,0,0,0,0,0
31,ADA,ALN,0,0,0,0,0,0,0,0,0,0
32,ADA,AVK,0,0,0,0,0,0,0,0,0,0
33,ADA,PVQ,0,0,0,0,0,0,0,0,0,0
34,ADA,PVR,0,0,0,0,0,0,0,0,0,0
35,ADA,RIA,0,0,0,0,0,0,0,0,0,1
36,ADA,RIB,0,0,0,0,0,0,0,0,0,0
37,ADA,RIH,0,0,0,0,0,0,0,0,0,0
38,ADA,RMG,0,0,0,0,0,0,0,0,0,0
39,ADA,SIB,0,0,0,0,0,0,0,0,0,1
40,ADA,IL2,0,0,0,0,0,0,0,0,0,1
41,AIA,ADA,5,0,4,1,0,1,8,4,5,1
42,AIA,ADL,1,1,0,0,0,0,11,2,7,0
43,AIA,AIB,21,17,14,10,5,22,99,25,34,21
44,AIA,AIN,1,0,0,0,0,0,0,0,0,0
45,AIA,AIZ,3,2,0,0,0,0,6,0,0,3
46,AIA,ASG,2,0,1,0,0,0,6,2,3,1
47,AIA,ASK,4,5,6,5,4,0,10,5,3,2
48,AIA,AWC,8,6,7,1,1,13,19,13,21,13
49,AIA,RIF,2,2,4,4,2,5,51,3,3,3
50,AIA,ASE,0,1,0,0,1,3,20,2,1,1
51,AIA,ASH,0,3,2,1,1,2,1,1,0,2
52,AIA,AWA,0,1,0,0,0,0,4,1,0,0
53,AIA,PVQ,0,0,1,1,0,0,1,0,1,0
54,AIA,ADF,0,0,0,1,0,0,2,0,0,1
55,AIA,AWB,0,0,0,0,1,0,0,0,0,0
56,AIA,ASI,0,0,0,0,0,2,2,2,1,1
57,AIA,AIA,0,0,0,0,0,0,1,0,0,0
58,AIA,AIM,0,0,0,0,0,0,6,0,0,0
59,AIA,ASJ,0,0,0,0,0,0,4,0,0,0
60,AIA,RIR,0,0,0,0,0,0,2,0,0,0
61,AIA,RMG,0,0,0,0,0,0,2,0,0,0
62,AIA,HSN,0,0,0,0,0,0,0,2,0,0
63,AIA,AIY,0,0,0,0,0,0,0,0,0,1
64,AIB,AVB,13,9,8,6,5,9,39,17,14,10
65,AIB,BAG,1,0,0,1,0,0,0,1,2,0
66,AIB,DVA,1,0,0,0,0,0,1,2,1,0
67,AIB,RIB,9,10,6,7,5,12,27,15,22,11
68,AIB,RIM,31,19,19,17,12,27,114,53,43,27
69,AIB,RMF,1,0,0,0,0,0,7,2,4,0
70,AIB,SAA,2,2,2,0,1,4,22,10,9,2
71,AIB,SIA,2,0,0,0,1,0,5,1,0,0
72,AIB,SMD,17,11,10,10,6,12,44,24,24,13
73,AIB,AVA,0,1,0,0,0,1,9,9,7,1
74,AIB,RIV,0,1,0,0,0,0,0,1,1,0
75,AIB,RME,0,1,0,0,0,0,0,0,0,0
76,AIB,AVE,0,0,1,2,4,1,5,2,3,2
77,AIB,RIG,0,0,1,0,0,0,6,1,4,0
78,AIB,PVP,0,0,0,1,0,0,0,0,0,0
79,AIB,AIA,0,0,0,0,0,1,1,0,1,0
80,AIB,DVC,0,0,0,0,0,1,0,1,0,0
81,AIB,ADL,0,0,0,0,0,0,1,0,1,0
82,AIB,AIB,0,0,0,0,0,0,2,0,2,0
83,AIB,AIY,0,0,0,0,0,0,1,0,1,0
84,AIB,AIZ,0,0,0,0,0,0,7,0,2,1
85,AIB,AQR,0,0,0,0,0,0,1,1,0,0
86,AIB,ASH,0,0,0,0,0,0,6,0,0,0
87,AIB,AUA,0,0,0,0,0,0,1,1,4,0
88,AIB,AWC,0,0,0,0,0,0,1,0,0,0
89,AIB,FLP,0,0,0,0,0,0,1,0,0,0
90,AIB,RIA,0,0,0,0,0,0,3,1,1,0
91,AIB,RIC,0,0,0,0,0,0,1,0,0,0
92,AIB,RIF,0,0,0,0,0,0,1,0,0,0
93,AIB,SIB,0,0,0,0,0,0,4,1,1,0
94,AIB,VB0,0,0,0,0,0,0,3,0,0,0
95,AIB,ADA,0,0,0,0,0,0,0,2,0,0
96,AIB,AVK,0,0,0,0,0,0,0,0,1,0
97,AIB,ASK,0,0,0,0,0,0,0,0,0,0
98,AIB,AVD,0,0,0,0,0,0,0,0,0,0
99,AIB,DVB,0,0,0,0,0,0,0,0,0,0
100,AIB,RMH,0,0,0,0,0,0,0,0,0,0
101,AIB,URA,0,0,0,0,0,0,0,0,0,0
102,AIB,URY,0,0,0,0,0,0,0,0,0,0
103,AIB,SMB,0,0,0,0,0,0,0,0,0,1
104,ASH,ADA,5,4,3,2,2,3,8,6,5,5
105,ASH,ADF,4,0,2,1,0,6,11,4,1,6
106,ASH,AIA,20,10,7,7,4,18,61,28,25,16
107,ASH,AIB,15,3,6,7,3,6,25,14,14,11
108,ASH,AVA,12,17,4,1,0,7,26,14,35,5
109,ASH,AVB,13,10,4,2,3,10,20,23,22,13
110,ASH,AVD,15,8,6,2,2,9,56,22,21,13
111,ASH,AVE,1,0,0,0,0,2,7,1,4,2
112,ASH,AVJ,1,0,2,2,0,0,0,5,2,1
113,ASH,AWB,1,0,0,0,0,1,1,4,3,2
114,ASH,RIA,4,4,3,2,0,7,17,3,2,5
115,ASH,RIM,3,0,1,0,0,0,7,0,1,3
116,ASH,RMG,1,0,0,0,0,0,6,0,4,0
117,ASH,ASK,0,3,2,1,0,0,1,1,0,1
118,ASH,AVH,0,1,0,0,1,0,3,4,3,2
119,ASH,AWA,0,3,2,1,0,0,1,1,2,2
120,ASH,PVC,0,1,0,0,0,0,3,0,2,0
121,ASH,PVQ,0,1,0,1,0,0,0,0,2,0
122,ASH,SMB,0,1,1,1,2,0,7,0,1,1
123,ASH,URX,0,1,0,0,0,0,2,0,2,1
124,ASH,ALM,0,0,1,0,0,0,0,0,0,0
125,ASH,ASE,0,0,1,0,0,0,0,0,0,0
126,ASH,SIB,0,0,1,0,0,0,0,0,0,0
127,ASH,AIZ,0,0,0,1,0,0,3,0,1,0
128,ASH,RIF,0,0,0,1,0,1,0,1,1,1
129,ASH,ADL,0,0,0,0,0,1,19,3,7,2
130,ASH,ASH,0,0,0,0,0,0,2,1,0,0
131,ASH,AVF,0,0,0,0,0,0,2,2,0,0
132,ASH,HSN,0,0,0,0,0,0,11,7,5,0
133,ASH,PVP,0,0,0,0,0,0,1,0,0,0
134,ASH,RIP,0,0,0,0,0,0,4,0,0,0
135,ASH,RIR,0,0,0,0,0,0,4,0,0,0
136,ASH,AIY,0,0,0,0,0,0,0,2,1,0
137,ASH,PVN,0,0,0,0,0,0,0,4,0,0
138,ASH,AIM,0,0,0,0,0,0,0,0,1,0
139,ASH,AFD,0,0,0,0,0,0,0,0,0,0
140,ASH,AWC,0,0,0,0,0,0,0,0,0,0
141,AVA,ADE,0,0,0,0,0,2,0,0,0,0
142,AVA,RIG,0,0,0,0,0,3,0,0,0,0
143,AVA,AVB,0,0,0,0,0,0,2,0,0,0
144,AVA,AVD,0,0,0,0,0,0,1,0,0,0
145,AVA,RIA,0,0,0,0,0,0,3,0,0,0
146,AVA,SAA,0,0,0,0,0,0,6,0,0,0
147,AVA,SMD,0,0,0,0,0,0,1,0,0,0
148,AVB,AVD,0,0,0,0,0,1,1,0,0,0
149,AVB,AVJ,0,0,0,0,0,1,2,0,0,0
150,AVB,AIB,0,0,0,0,0,0,1,0,0,0
151,AVB,AVA,0,0,0,0,0,0,6,0,0,0
152,AVB,AVB,0,0,0,0,0,0,2,0,0,0
153,AVB,DVA,0,0,0,0,0,0,2,0,0,0
154,AVB,PVC,0,0,0,0,0,0,2,0,0,0
155,AVB,SDQ,0,0,0,0,0,0,1,0,0,0
156,AVD,ALA,0,0,0,0,0,0,1,0,0,0
157,AVD,AVJ,0,0,0,0,0,0,1,0,0,0
158,AVH,ADF,5,5,4,2,1,3,5,3,6,7
159,AVH,ADL,1,1,0,1,1,0,3,1,1,1
160,AVH,AIA,1,1,0,0,0,0,0,1,0,0
161,AVH,AIZ,1,4,3,2,1,0,0,0,0,3
162,AVH,AQR,1,0,0,0,0,0,1,2,0,0
163,AVH,ASH,1,2,1,1,0,1,1,2,1,0
164,AVH,AVA,1,1,0,1,0,0,2,3,1,0
165,AVH,AWB,1,8,3,3,0,2,4,5,6,11
166,AVH,DVA,2,1,1,0,1,2,1,5,1,2
167,AVH,PVP,2,1,1,1,0,5,11,7,5,3
168,AVH,RIM,1,0,0,0,0,1,1,1,1,1
169,AVH,RIR,6,1,3,0,0,4,10,7,13,3
170,AVH,SMB,2,3,0,1,0,2,12,6,10,4
171,AVH,URX,5,1,1,0,0,5,0,2,1,2
172,AVH,ADA,0,1,0,1,0,0,0,0,0,1
173,AVH,AVH,0,1,0,0,0,0,0,1,0,0
174,AVH,AVJ,0,1,0,0,0,4,8,2,4,2
175,AVH,RIF,0,1,0,0,1,0,1,1,0,1
176,AVH,AFD,0,0,1,0,0,0,0,0,0,0
177,AVH,AWA,0,0,1,0,0,0,0,0,0,0
178,AVH,OLQ,0,0,1,0,0,0,0,0,0,0
179,AVH,ASE,0,0,0,1,0,0,0,0,0,2
180,AVH,AVB,0,0,0,1,0,0,6,1,5,3
181,AVH,RIG,0,0,0,1,0,0,1,0,1,0
182,AVH,BDU,0,0,0,0,1,0,1,1,0,1
183,AVH,AVD,0,0,0,0,0,1,2,0,0,0
184,AVH,AVE,0,0,0,0,0,1,0,0,0,0
185,AVH,PVQ,0,0,0,0,0,1,0,0,0,0
186,AVH,RIC,0,0,0,0,0,1,0,0,0,0
187,AVH,RIH,0,0,0,0,0,1,0,0,0,0
188,AVH,ASK,0,0,0,0,0,0,1,0,0,0
189,AVH,AIB,0,0,0,0,0,0,0,1,0,0
190,AVH,AIN,0,0,0,0,0,0,0,1,2,0
191,AVH,AVM,0,0,0,0,0,0,0,1,0,0
192,AVH,BAG,0,0,0,0,0,0,0,1,0,0
193,AVH,PVC,0,0,0,0,0,0,0,2,1,0
194,AVH,RIV,0,0,0,0,0,0,0,3,0,0
195,AVH,SIA,0,0,0,0,0,0,0,1,0,1
196,AVH,SMD,0,0,0,0,0,0,0,2,1,0
197,AVH,CEP,0,0,0,0,0,0,0,0,1,0
198,AVH,RMF,0,0,0,0,0,0,0,0,1,0
199,AVH,AIM,0,0,0,0,0,0,0,0,0,1
200,AVH,AVF,0,0,0,0,0,0,0,0,0,1
201,AVJ,AVB,6,4,2,0,1,8,19,11,7,7
202,AVJ,AVD,1,1,0,0,1,0,2,0,1,0
203,AVJ,AVM,1,0,0,0,0,0,1,2,2,0
204,AVJ,FLP,2,1,0,0,0,0,2,0,0,0
205,AVJ,PVC,4,3,0,1,2,5,19,8,4,4
206,AVJ,RIS,4,0,0,0,0,2,1,1,1,2
207,AVJ,BDU,0,1,0,0,0,0,0,0,0,0
208,AVJ,RIF,0,2,0,2,0,0,1,0,0,2
209,AVJ,AIY,0,0,2,1,0,1,0,0,1,0
210,AVJ,AVJ,0,0,1,0,0,0,1,0,0,0
211,AVJ,SMB,0,0,1,1,0,0,0,0,0,0
212,AVJ,ASH,0,0,0,1,0,0,1,0,0,1
213,AVJ,AVE,0,0,0,1,0,0,0,0,0,0
214,AVJ,AVH,0,0,0,1,0,0,2,0,0,0
215,AVJ,AQR,0,0,0,0,0,1,0,0,1,0
216,AVJ,AVA,0,0,0,0,0,1,1,1,1,0
217,AVJ,AVF,0,0,0,0,0,1,0,0,0,0
218,AVJ,RIM,0,0,0,0,0,1,0,0,1,0
219,AVJ,AIN,0,0,0,0,0,0,1,0,0,0
220,AVJ,ALM,0,0,0,0,0,0,3,0,0,0
221,AVJ,PVN,0,0,0,0,0,0,4,0,1,0
222,AVJ,RID,0,0,0,0,0,0,1,2,0,0
223,AVJ,ADA,0,0,0,0,0,0,0,1,0,0
224,AVJ,ASK,0,0,0,0,0,0,0,0,1,0
225,AVJ,PVP,0,0,0,0,0,0,0,0,1,0
226,AVJ,DVA,0,0,0,0,0,0,0,0,0,0
227,AVJ,OLQ,0,0,0,0,0,0,0,0,0,0
228,AVJ,SIB,0,0,0,0,0,0,0,0,0,0
229,AVJ,URY,0,0,0,0,0,0,0,0,0,0
230,OLQ,IL1,2,0,0,0,0,0,3,3,2,0
231,OLQ,IL2,6,4,4,6,4,4,1,17,18,7
232,OLQ,RIC,4,4,5,5,9,5,17,6,7,6
233,OLQ,RMD,13,6,4,9,3,10,52,21,21,10
234,OLQ,RME,2,0,0,0,0,0,5,4,4,1
235,OLQ,SIB,13,6,4,5,2,9,47,22,21,10
236,OLQ,SMB,1,0,0,0,1,0,0,1,2,0
237,OLQ,RMH,0,1,0,0,0,0,7,3,4,0
238,OLQ,RIH,0,0,0,1,1,2,23,2,2,0
239,OLQ,URY,0,0,0,1,0,0,3,0,0,0
240,OLQ,AVA,0,0,0,0,1,0,1,0,0,0
241,OLQ,AVD,0,0,0,0,0,0,1,0,0,0
242,OLQ,CEP,0,0,0,0,0,0,3,0,1,0
243,OLQ,RIP,0,0,0,0,0,0,18,0,0,0
244,OLQ,SIA,0,0,0,0,0,0,9,0,1,0
245,OLQ,PVP,0,0,0,0,0,0,0,1,0,0
246,OLQ,RIG,0,0,0,0,0,0,0,1,0,0
247,OLQ,URB,0,0,0,0,0,0,0,0,1,0
248,OLQ,ADA,0,0,0,0,0,0,0,0,0,0
249,OLQ,AVE,0,0,0,0,0,0,0,0,0,0
250,OLQ,AVJ,0,0,0,0,0,0,0,0,0,0
251,OLQ,DVA,0,0,0,0,0,0,0,0,0,0
252,OLQ,OLL,0,0,0,0,0,0,0,0,0,0
253,OLQ,OLQ,0,0,0,0,0,0,0,0,0,0
254,OLQ,PVR,0,0,0,0,0,0,0,0,0,0
255,OLQ,RIA,0,0,0,0,0,0,0,0,0,0
256,OLQ,RIM,0,0,0,0,0,0,0,0,0,0
257,OLQ,RIR,0,0,0,0,0,0,0,0,0,0
258,OLQ,RIV,0,0,0,0,0,0,0,0,0,0
259,OLQ,RMF,0,0,0,0,0,0,0,0,0,0
260,OLQ,RMG,0,0,0,0,0,0,0,0,0,0
261,OLQ,URA,0,0,0,0,0,0,0,0,0,1
262,OLQ,unk,0,0,0,0,0,0,0,0,0,0
263,PVP,ADA,1,0,0,0,1,0,1,1,2,0
264,PVP,AQR,2,0,0,0,0,5,14,5,4,7
265,PVP,AVA,6,1,2,3,2,8,14,7,7,5
266,PVP,AVB,15,2,2,4,3,19,48,22,25,11
267,PVP,DVC,1,0,0,0,0,0,0,0,0,0
268,PVP,PVC,12,1,3,0,1,6,33,10,12,8
269,PVP,RID,1,0,0,1,1,0,0,0,0,0
270,PVP,RIF,1,0,0,0,0,1,0,0,3,0
271,PVP,RIG,1,2,1,2,1,3,3,1,1,1
272,PVP,AIB,0,2,0,2,0,0,0,3,1,0
273,PVP,AVE,0,1,0,0,0,0,0,1,3,0
274,PVP,AVH,0,1,1,1,1,3,5,4,2,0
275,PVP,DVA,0,1,0,1,0,0,0,2,0,1
276,PVP,URX,0,0,1,2,1,0,1,0,0,2
277,PVP,AVD,0,0,0,2,0,3,4,0,1,0
278,PVP,RIR,0,0,0,2,1,0,1,1,2,0
279,PVP,URY,0,0,0,1,0,0,0,0,0,0
280,PVP,AVJ,0,0,0,0,1,2,2,0,1,2
281,PVP,ADE,0,0,0,0,0,1,0,0,0,0
282,PVP,ADL,0,0,0,0,0,1,0,0,0,0
283,PVP,AIZ,0,0,0,0,0,1,0,0,0,0
284,PVP,ASH,0,0,0,0,0,1,2,0,1,1
285,PVP,RIS,0,0,0,0,0,1,0,0,0,1
286,PVP,SIB,0,0,0,0,0,1,0,0,0,0
287,PVP,SMB,0,0,0,0,0,1,0,0,0,1
288,PVP,ADF,0,0,0,0,0,0,2,0,0,0
289,PVP,RIA,0,0,0,0,0,0,2,0,2,0
290,PVP,RIM,0,0,0,0,0,0,1,0,0,0
291,PVP,AVF,0,0,0,0,0,0,0,2,0,1
292,PVP,AVK,0,0,0,0,0,0,0,1,0,0
293,PVP,RMF,0,0,0,0,0,0,0,1,1,0
294,PVP,SIA,0,0,0,0,0,0,0,1,0,0
295,PVP,AWA,0,0,0,0,0,0,0,0,0,0
296,PVP,AWB,0,0,0,0,0,0,0,0,0,0
297,PVP,OLQ,0,0,0,0,0,0,0,0,0,0
298,PVP,RMG,0,0,0,0,0,0,0,0,0,0
299,PVP,SAA,0,0,0,0,0,0,0,0,0,1
300,RIC,ADA,4,4,2,2,2,5,10,3,5,2
301,RIC,AIB,3,0,1,0,0,2,4,7,4,1
302,RIC,AVA,26,15,8,11,7,30,61,36,32,20
303,RIC,CEP,2,0,2,0,1,2,5,9,4,1
304,RIC,RIM,2,0,0,0,0,5,20,10,7,5
305,RIC,RIV,1,1,0,0,0,1,5,2,4,0
306,RIC,RMD,1,0,0,0,1,0,0,0,0,2
307,RIC,SAA,1,0,1,0,0,0,2,0,2,3
308,RIC,SIB,1,0,0,1,0,0,0,0,0,1
309,RIC,SMB,2,4,0,0,0,2,9,2,5,3
310,RIC,SMD,23,10,4,10,4,23,47,18,23,14
311,RIC,URB,1,0,0,0,0,0,4,0,2,0
312,RIC,RMH,0,6,0,0,0,0,0,2,3,3
313,RIC,RIC,0,0,1,2,0,0,5,1,5,0
314,RIC,URY,0,0,1,0,0,0,0,0,0,0
315,RIC,BWM,0,0,0,0,1,0,0,0,0,1
316,RIC,AVE,0,0,0,0,0,1,0,0,0,0
317,RIC,AVK,0,0,0,0,0,1,1,0,0,0
318,RIC,ADL,0,0,0,0,0,0,2,0,0,0
319,RIC,AIZ,0,0,0,0,0,0,6,0,0,0
320,RIC,OLQ,0,0,0,0,0,0,1,0,0,0
321,RIC,RMF,0,0,0,0,0,0,3,0,0,0
322,RIC,RMG,0,0,0,0,0,0,1,1,0,0
323,RIC,VB0,0,0,0,0,0,0,7,0,0,0
324,RIC,AVB,0,0,0,0,0,0,0,2,0,0
325,RIC,AVD,0,0,0,0,0,0,0,1,0,0
326,RIC,PVC,0,0,0,0,0,0,0,1,0,0
327,RIC,URX,0,0,0,0,0,0,0,1,1,0
328,RIC,RIS,0,0,0,0,0,0,0,0,1,0
329,RIC,AVJ,0,0,0,0,0,0,0,0,0,0
330,RIC,RIA,0,0,0,0,0,0,0,0,0,0
331,RIC,SDQ,0,0,0,0,0,0,0,0,0,0
332,RIC,SIA,0,0,0,0,0,0,0,0,0,0
333,RIM,ADA,1,0,1,0,0,1,15,2,1,0
334,RIM,AIB,15,5,6,5,3,12,40,20,17,5
335,RIM,AVA,2,0,0,1,1,2,16,3,3,1
336,RIM,AVB,13,7,8,5,4,14,67,12,15,8
337,RIM,AVD,2,0,0,1,0,0,0,0,0,0
338,RIM,AVE,1,0,0,0,0,1,7,3,1,0
339,RIM,AVJ,1,0,0,0,0,0,6,0,1,0
340,RIM,AVK,1,0,0,0,0,0,2,0,3,0
341,RIM,BWM,13,9,7,2,3,16,0,15,15,7
342,RIM,RIB,9,10,9,4,2,11,13,7,15,11
343,RIM,RIG,1,2,1,0,0,2,0,0,1,1
344,RIM,RIS,1,3,1,1,1,0,2,1,3,0
345,RIM,RMD,17,7,7,7,8,14,57,26,21,11
346,RIM,RMF,6,0,0,0,0,4,12,8,8,0
347,RIM,SAA,17,9,6,6,3,17,44,26,32,14
348,RIM,SIA,2,2,0,2,0,0,0,1,1,2
349,RIM,SMD,30,20,13,20,14,21,64,35,39,25
350,RIM,AVH,0,0,1,0,0,0,0,0,0,0
351,RIM,RMG,0,0,1,0,0,0,0,0,0,0
352,RIM,PVC,0,0,0,1,0,1,0,0,0,0
353,RIM,SIB,0,0,0,1,0,0,0,0,1,0
354,RIM,CEP,0,0,0,0,1,0,0,0,0,0
355,RIM,RIA,0,0,0,0,0,0,5,1,0,0
356,RIM,RIC,0,0,0,0,0,0,1,0,0,0
357,RIM,RIM,0,0,0,0,0,0,17,0,1,0
358,RIM,VB0,0,0,0,0,0,0,10,0,0,0
359,RIM,AUA,0,0,0,0,0,0,0,1,0,0
360,RIM,OLL,0,0,0,0,0,0,0,1,0,0
361,RIM,RIF,0,0,0,0,0,0,0,1,0,0
362,RIM,AIZ,0,0,0,0,0,0,0,0,1,0
363,RIM,PVP,0,0,0,0,0,0,0,0,0,0
364,RIM,RIV,0,0,0,0,0,0,0,0,0,1
365,RIM,UNK,0,0,0,0,0,0,0,0,0,0
366,RIM,RME,0,0,0,0,0,0,0,0,0,1
367,RIP,IL2,0,0,1,0,0,0,0,0,0,0
368,RIP,RIH,0,0,1,0,0,0,3,0,0,0
369,RIP,RIP,0,0,1,0,0,0,1,0,0,0
370,RIP,AVB,0,0,0,0,0,1,2,0,0,0
371,RIP,OLQ,0,0,0,0,0,2,8,0,0,0
372,RIP,URA,0,0,0,0,0,0,1,0,0,0
373,RIP,ADF,0,0,0,0,0,0,0,0,0,0
374,RIP,AIZ,0,0,0,0,0,0,0,0,0,0
375,RIP,CEP,0,0,0,0,0,0,0,0,0,0
376,RIP,DVA,0,0,0,0,0,0,0,0,0,0
377,RIP,IL1,0,0,0,0,0,0,0,0,0,0
378,RIP,RIA,0,0,0,0,0,0,0,0,0,0
379,RIP,RIC,0,0,0,0,0,0,0,0,0,0
380,RIP,RIR,0,0,0,0,0,0,0,0,0,0
381,RIP,RIV,0,0,0,0,0,0,0,0,0,0
382,RIP,RMD,0,0,0,0,0,0,0,0,0,0
383,RIP,SIA,0,0,0,0,0,0,0,0,0,0
